Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
136276889,The Resort,Sara Ochs,"Ochs, Sara",,"=""1728279550""","=""9781728279558""",0,3.51,Sourcebooks Landmark,Hardcover,384,2024,2023,,2024/04/15,to-read,to-read (#32),to-read,,,,0,0
52320705,Who Is Maud Dixon?,Alexandra  Andrews,"Andrews, Alexandra",,"=""0316500313""","=""9780316500319""",0,3.82,"Little, Brown And Company",Hardcover,324,2021,2021,,2024/04/15,to-read,to-read (#31),to-read,,,,1,0
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",2,3.60,Granta Books,Hardcover,247,2020,2018,2024/04/15,2024/01/27,otk-on-the-kindle,otk-on-the-kindle (#3),read,I’m so disturbed by this book and I never want to think about it ever again. Disturbing in a trauma porn type of way and not in a fun way in my own opinion. The graphic details of rape of a child multiple times in the book is enough for me to close the book. But I had to get to the end because everyone is saying this book is like a fun ride?? Hell no it was barely even enjoyable. I’m new to horror books so maybe I’m a pussy though ¯\_(ツ)_/¯ ,,,1,0
133938826,Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,"Bo-Reum, Hwang",Shanna Tan,"=""""","=""""",0,3.89,Bloomsbury Publishing,Hardcover,307,2024,2022,,2024/04/11,to-read,to-read (#30),to-read,,,,0,0
193759650,Memory Piece,Lisa Ko,"Ko, Lisa",,"=""059354210X""","=""9780593542101""",0,3.19,Riverhead Books,Hardcover,304,2024,2024,,2024/04/11,to-read,to-read (#29),to-read,,,,0,0
195820829,The Cemetery of Untold Stories,Julia Alvarez,"Alvarez, Julia",,"=""1643753843""","=""9781643753843""",0,3.61,Algonquin Books,Hardcover,243,2024,2024,,2024/04/11,to-read,to-read (#28),to-read,,,,0,0
35522836,No Exit,Taylor  Adams,"Adams, Taylor",,"=""1912106760""","=""9781912106769""",3,3.98,Jofie Books,Kindle Edition,287,2017,2017,2024/04/11,2024/04/11,,,read,An eye roller for sure. I’m ready to be excited again,,,1,0
157062582,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356187""","=""9780593356180""",3,3.79,Ballantine Books,Hardcover,293,2023,2023,2024/04/08,2024/04/08,,,read,"I don’t want to be too harsh because I did enjoy this book, but oh my god. If book 1 toed the line of being a little…. mickey mousey (genuinely can’t think of a real way to describe it), this one stomped all over the line and built property far past “the line”. I don’t know if I’m making sense. Overall, as a fan of The Maid, the book and molly herself, this book fell short of having much substance at all. I was reading at a much slower pace than usual and wasn’t really thinking about the story when I wasn’t reading. That being said, the character of molly stays living in my mind. I have started to find a real meaning and deep appreciation for the act of cleaning now. And I have had this phrase stuck in my head lately, polish and shine to ease the mind. Ever HEARD of IT?",,,1,0
55196813,"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,"=""0593356152""","=""9780593356159""",3,3.75,Ballantine Books,Hardcover,304,2022,2022,2024/03/26,2024/03/25,loved,loved (#9),read,"Wowie this was such a good read for me I think it brought me out of my reading slump.. Loved our main character so much. The ending felt a little rushed, and there were points that felt a little too Mickey mousey, but let’s not pretend that we don’t love a happy optimistic ending!! <br/>Filing under books about autistic women who love their monotonous job along with Convenience Store Woman ",,,1,0
80830635,Don't Let Her Stay,Nicola Sanders,"Sanders, Nicola",,"=""""","=""""",0,3.94,,Kindle Edition,292,2023,2023,,2024/02/13,"otk-on-the-kindle, to-read","otk-on-the-kindle (#16), to-read (#27)",to-read,,,,0,0
63221207,Brain on Fire: My Month of Madness,Susannah Cahalan,"Cahalan, Susannah",,"=""1451621396""","=""9781451621396""",4,4.09,Free Press,ebook,300,2012,2012,2024/03/25,2024/03/12,,,read,,,,1,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""1982179007""","=""9781982179007""",3,4.08,Atria Books,Hardcover,390,2023,2023,2024/02/20,2023/11/25,,,read,It was enjoyable but all over the place. Seems i missed out by reading instead of listening to the audiobook based off other reviews ,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",5,4.13,Ballantine Books,Hardcover,342,2016,2016,2024/01/29,2024/01/27,"otk-on-the-kindle, loved","otk-on-the-kindle (#1), loved (#7)",read,This book had me by the balls until the very last sentence highly recommend if youre bored i loved this,,,1,0
